name,image,rating,ratings_count,genres,platforms,tags,features
Grand Theft Auto V,https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg,4.47,7256,Strategy,PC|PlayStation 5|Xbox Series S/X|PlayStation 4|PlayStation 3|Xbox 360|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Co-op|Open World|cooperative|First-Person|Third Person|Funny|Sandbox|Comedy|Third-Person Shooter|Moddable|Crime|vr mod,strategy pc playstation_5 xbox_series_s/x playstation_4 playstation_3 xbox_360 xbox_one singleplayer steam_achievements multiplayer full_controller_support atmospheric great_soundtrack rpg co-op open_world cooperative first-person third_person funny sandbox comedy third-person_shooter moddable crime vr_mod
The Witcher 3: Wild Hunt,https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg,4.64,7076,Action|RPG,PlayStation 5|Xbox Series S/X|macOS|PlayStation 4|Nintendo Switch|PC|Xbox One,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Sandbox|Action RPG|Dark|Nudity|controller support|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings,action rpg playstation_5 xbox_series_s/x macos playstation_4 nintendo_switch pc xbox_one singleplayer full_controller_support atmospheric great_soundtrack rpg story_rich open_world third_person fantasy sandbox action_rpg dark nudity controller_support choices_matter dark_fantasy mature medieval magic multiple_endings
Portal 2,https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg,4.58,6017,Shooter|Puzzle,PlayStation 3|PC|Xbox 360|Linux|macOS|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Co-op|Story Rich|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Funny|Female Protagonist|Comedy|Local Co-Op|stats|Steam Workshop|Space|Includes level editor|Captions available|Commentary available|Science,shooter puzzle playstation_3 pc xbox_360 linux macos xbox_one singleplayer steam_achievements multiplayer full_controller_support steam_cloud atmospheric steam-trading-cards co-op story_rich cooperative first-person sci-fi fps online_co-op funny female_protagonist comedy local_co-op stats steam_workshop space includes_level_editor captions_available commentary_available science
Counter-Strike: Global Offensive,https://media.rawg.io/media/games/736/73619bd336c894d6941d926bfd563946.jpg,3.57,3607,Shooter,PC|Linux|Xbox 360|PlayStation 3,Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Co-op|cooperative|First-Person|FPS|Online Co-Op|Tactical|stats|Steam Workshop|PvP|Moddable|War|In-App Purchases|Realistic|Team-Based|Fast-Paced|Military|Competitive|Valve Anti-Cheat enabled|e-sports|Trading,shooter pc linux xbox_360 playstation_3 steam_achievements multiplayer full_controller_support steam-trading-cards co-op cooperative first-person fps online_co-op tactical stats steam_workshop pvp moddable war in-app_purchases realistic team-based fast-paced military competitive valve_anti-cheat_enabled e-sports trading
Tomb Raider (2013),https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg,4.06,4052,Action,PlayStation 3|Xbox 360|macOS|PC|Xbox One|PlayStation 4,Singleplayer|Multiplayer|Full controller support|Atmospheric|RPG|Third Person|Exploration|Classic|Female Protagonist|Stealth|Action-Adventure|Third-Person Shooter|Retro|Cinematic|Quick-Time Events|Dinosaurs|Lara Croft,action playstation_3 xbox_360 macos pc xbox_one playstation_4 singleplayer multiplayer full_controller_support atmospheric rpg third_person exploration classic female_protagonist stealth action-adventure third-person_shooter retro cinematic quick-time_events dinosaurs lara_croft
Portal,https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg,4.49,4944,Action|Puzzle,macOS|PC|Android|PlayStation 3|Xbox 360|Linux|Nintendo Switch,Singleplayer|Steam Achievements|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Funny|Classic|Female Protagonist|Comedy|Includes level editor|Captions available|Short|Physics|Dark Humor|Commentary available|Includes Source SDK|Science,action puzzle macos pc android playstation_3 xbox_360 linux nintendo_switch singleplayer steam_achievements atmospheric great_soundtrack story_rich first-person sci-fi partial_controller_support fps funny classic female_protagonist comedy includes_level_editor captions_available short physics dark_humor commentary_available includes_source_sdk science
Left 4 Dead 2,https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg,4.09,3377,Action|Shooter,Xbox 360|Linux|PC|macOS,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|cooperative|First-Person|Horror|FPS|Online Co-Op|Gore|Survival|Local Co-Op|Tactical|stats|Steam Workshop|Zombies|Moddable|Survival Horror|Post-apocalyptic|Captions available|Replay Value|Team-Based|Valve Anti-Cheat enabled|Commentary available|Includes Source SDK,action shooter xbox_360 linux pc macos singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards co-op cooperative first-person horror fps online_co-op gore survival local_co-op tactical stats steam_workshop zombies moddable survival_horror post-apocalyptic captions_available replay_value team-based valve_anti-cheat_enabled commentary_available includes_source_sdk
The Elder Scrolls V: Skyrim,https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg,4.42,4853,Action|RPG,PC|Xbox Series S/X|PlayStation 5|Xbox One|PlayStation 4|Nintendo Switch|Xbox 360|PlayStation 3,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|Fantasy|Sandbox|Action RPG|Steam Workshop|role-playing|Moddable|Character Customization|Dark Fantasy|Medieval|Magic|Lore-Rich|Dragons,action rpg pc xbox_series_s/x playstation_5 xbox_one playstation_4 nintendo_switch xbox_360 playstation_3 singleplayer steam_achievements steam_cloud atmospheric steam-trading-cards great_soundtrack rpg story_rich open_world first-person third_person partial_controller_support fantasy sandbox action_rpg steam_workshop role-playing moddable character_customization dark_fantasy medieval magic lore-rich dragons
Red Dead Redemption 2,https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg,4.59,5394,Action,PC|PlayStation 4|Xbox One,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|FPS|Online Co-Op|Gore|Exploration|Sandbox|Violent|Third-Person Shooter|PvP|In-App Purchases|Realistic|Mature|Cinematic|Historical|Crime|Online PvP|3rd-Person Perspective|Blood|America|Masterpiece|Beautiful|Hunting|Western|3rd-person,action pc playstation_4 xbox_one singleplayer multiplayer atmospheric great_soundtrack co-op story_rich open_world first-person third_person partial_controller_support fps online_co-op gore exploration sandbox violent third-person_shooter pvp in-app_purchases realistic mature cinematic historical crime online_pvp 3rd-person_perspective blood america masterpiece beautiful hunting western 3rd-person
BioShock Infinite,https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg,4.38,4140,Action|Shooter,PlayStation 4|Xbox 360|Nintendo Switch|Linux|PC|PlayStation 3|Xbox One,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|FPS|Fantasy|Gore|Controller|Dystopian|Linear|Steampunk|Alternate History|Time Travel|Political,action shooter playstation_4 xbox_360 nintendo_switch linux pc playstation_3 xbox_one singleplayer steam_achievements full_controller_support steam_cloud atmospheric steam-trading-cards great_soundtrack rpg story_rich first-person sci-fi fps fantasy gore controller dystopian linear steampunk alternate_history time_travel political
